;Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Cidade / UF;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada;Observação
1676;1677;11/02/2015;10;15;28;33;51;52;2;"PARÁ DE MINAS/MG; 
SÃO PAULO/SP";R$3.678.088,24;154;R$13.730,83;7597;R$397,62;R$0,00;R$36.118.037,50;R$3.000.000,00;R$7.404.761,96;
1678;1679;18/02/2015;1;2;27;28;46;47;1;Curitiba/PR;R$5.548.048,14;35;R$33.297,02;3289;R$506,18;R$0,00;R$19.905.830,00;R$15.000.000,00;R$8.197.340,29;
1679;1680;21/02/2015;23;37;38;46;47;51;1;PORTO ALEGRE/RS;R$16.547.485,01;298;R$8.541,66;5821;R$624,68;R$0,00;R$43.477.555,00;R$3.000.000,00;R$8.867.185,88;
1680;1681;25/02/2015;1;6;8;11;33;50;1;SÃO PAULO/SP;R$3.031.830,86;90;R$18.287,23;6663;R$352,87;R$0,00;R$28.112.362,50;R$3.000.000,00;R$9.300.304,58;
1682;1683;04/03/2015;4;12;32;33;34;48;1;SANTO ANDRÉ/SP;R$7.199.799,02;80;R$26.507,29;6925;R$437,45;R$0,00;R$36.221.137,50;R$3.000.000,00;R$10.328.847,34;
1685;1686;14/03/2015;9;14;37;44;46;55;3;"SANTA TERESA/ES; 
IBIUNA/SP; 
SERTÃOZINHO/SP";R$8.927.028,65;117;R$29.578,87;8999;R$549,38;R$0,00;R$59.111.810,00;R$3.000.000,00;R$12.500.397,00;
1686;1687;18/03/2015;15;24;37;46;49;58;1;RECIFE/PE;R$3.174.732,56;75;R$22.979,02;4522;R$544,45;R$0,00;R$29.437.405,00;R$3.000.000,00;R$12.953.930,24;
1688;1689;25/03/2015;2;5;13;27;41;53;2;"REDENÇÃO/PA; 
SÃO PAULO/SP";R$3.610.233,13;185;R$11.227,15;9634;R$307,98;R$0,00;R$35.477.090,00;R$19.000.000,00;R$13.985.425,45;
1693;1694;11/04/2015;20;29;34;37;45;57;1;TOLEDO/PR;R$46.904.093,93;348;R$14.457,94;10854;R$662,21;R$0,00;R$85.939.430,00;R$25.000.000,00;R$18.702.105,32;
1695;1696;18/04/2015;1;12;17;31;37;46;1;DIAMANTINA/MG;R$32.909.935,88;135;R$27.832,74;9824;R$546,39;R$0,00;R$64.179.532,50;R$3.000.000,00;R$20.438.754,61;
1699;1700;02/05/2015;15;18;41;48;50;58;1;CAMBUCI/RJ;R$31.494.038,01;65;R$45.507,40;5380;R$785,44;R$0,00;R$50.524.517,50;R$2.500.000,00;R$22.831.545,17;
1700;1701;05/05/2015;3;9;18;32;40;56;1;RIBEIRA DO POMBAL/BA;R$2.018.423,55;59;R$18.571,45;3328;R$470,34;R$0,00;R$18.715.640,00;R$2.000.000,00;R$23.119.891,41;
1701;1702;07/05/2015;17;19;33;35;39;52;1;ARAPIRACA/AL;R$2.757.367,25;139;R$10.768,76;5963;R$358,60;R$0,00;R$25.567.425,00;R$3.000.000,00;R$23.513.801,04;
1705;1706;20/05/2015;12;31;34;36;48;56;1;CAMPO GRANDE/MS;R$29.938.493,60;136;R$25.199,07;10756;R$455,17;R$0,00;R$58.536.962,50;R$3.000.000,00;R$26.241.857,93;
1712;1713;13/06/2015;3;10;16;23;27;29;2;"MARINGÁ/PR; 
RIO DE JANEIRO/RJ";R$31.598.692,07;388;R$17.070,00;21476;R$440,56;R$0,00;R$113.128.519,00;R$3.000.000,00;R$33.089.006,85;
1715;1716;24/06/2015;2;25;36;41;42;53;1;SÃO PAULO/SP;R$40.781.877,95;62;R$60.946,26;5896;R$915,55;R$0,00;R$64.542.467,50;R$3.000.000,00;R$35.401.734,37;
1720;1721;09/07/2015;4;12;19;33;36;38;1;ITAPEVI/SP;R$36.404.331,56;188;R$15.172,92;9668;R$421,49;R$0,00;R$48.722.999,50;R$3.000.000,00;R$38.392.973,91;
1726;1727;29/07/2015;4;6;19;20;40;41;1;SÃO PAULO/SP;R$46.391.009,23;122;R$37.224,08;8814;R$736,05;R$0,00;R$77.569.436,00;R$3.000.000,00;R$43.151.108,29;
1729;1730;06/08/2015;1;10;17;24;42;51;2;"PORTO ALEGRE/RS; 
SANTA MARIA/RS";R$13.940.874,15;195;R$12.990,53;10089;R$358,68;R$0,00;R$43.268.162,00;R$3.000.000,00;R$44.663.013,24;
1731;1732;12/08/2015;25;34;38;45;53;60;1;RIO DE JANEIRO/RJ;R$7.041.557,17;73;R$28.364,30;3177;R$931,06;R$0,00;R$35.367.286,50;R$3.000.000,00;R$45.668.950,00;
1732;1733;15/08/2015;3;5;9;14;41;46;1;BAIXO GUANDÚ/ES;R$3.330.428,53;63;R$28.697,57;4818;R$536,06;R$0,00;R$30.881.081,00;R$3.000.000,00;R$46.144.725,52;
1737;1738;02/09/2015;12;28;37;46;48;53;1;GUAÍRA/PR;R$38.615.395,78;96;R$40.710,07;6889;R$810,43;R$0,00;R$66.754.387,00;R$3.000.000,00;R$50.039.006,13;
1740;1741;12/09/2015;15;18;20;32;48;49;1;Curitiba/PR;R$31.114.779,74;82;R$41.724,99;6448;R$758,03;R$0,00;R$58.440.900,00;R$3.000.000,00;R$52.008.469,85;
1746;1747;03/10/2015;6;33;34;48;53;59;2;"ITAÍ/SP; 
SÃO PAULO/SP";R$23.221.167,26;93;R$51.651,09;8700;R$788,76;R$0,00;R$82.048.242,50;R$3.000.000,00;R$56.710.206,59;
1752;1753;21/10/2015;8;15;29;35;45;54;1;BRASÍLIA/DF;R$47.335.685,52;149;R$30.199,58;8929;R$719,92;R$0,00;R$76.858.873,00;R$3.000.000,00;R$60.857.717,48;
1763;1764;25/11/2015;6;7;29;39;41;55;1;BRASÍLIA/DF;R$205.329.753,89;401;R$58.622,54;33850;R$992,09;R$0,00;R$401.527.962,50;R$100.000.000,00;R$84.935.279,66;
1771;1772;22/12/2015;12;19;27;39;41;45;2;"CAMPOS BELOS/GO; 
SANTOS/SP";R$98.688.974,76;244;R$21.377,77;13112;R$568,30;R$0,00;R$89.096.143,50;R$3.000.000,00;R$96.785.146,44;
1774;1775;31/12/2015;2;18;31;42;51;56;6;"ÁGUA BRANCA/AL; 
GUAÇUÍ/ES; 
VILA VELHA/ES; 
VITÓRIA/ES; 
CERQUILHO/SP";R$41.088.919,05;827;R$43.913,49;62767;R$826,55;R$0,00;R$620.312.112,00;R$1.500.000,00;R$0,00;
1780;1781;16/01/2016;1;8;22;49;52;53;2;"MANAUS/AM; 
PRATA/MG";R$12.626.122,54;54;R$44.720,27;3941;R$875,37;R$0,00;R$41.885.585,00;R$3.000.000,00;R$2.674.496,57;
1786;1787;04/02/2016;1;5;13;25;26;29;2;"JUNDIAÍ/SP; 
SÃO CAETANO DO SUL/SP";R$17.008.680,52;167;R$14.880,66;8897;R$399,02;R$0,00;R$43.102.762,50;R$3.000.000,00;R$5.894.404,97;
1792;1793;24/02/2016;13;14;22;54;56;58;1;IPUIUNA/MG;R$35.196.529,96;80;R$37.673,26;5158;R$834,72;R$0,00;R$52.274.470,50;R$3.000.000,00;R$9.405.474,81;
1793;1794;27/02/2016;1;5;34;37;40;60;1;CUIABÁ/MT;R$2.942.618,04;64;R$24.959,71;3568;R$639,58;R$0,00;R$27.706.770,00;R$18.000.000,00;R$9.825.848,83;
1795;1796;05/03/2016;22;23;34;48;53;54;1;Curitiba/PR;R$23.818.040,93;48;R$58.387,61;4783;R$837,07;R$0,00;R$48.610.310,00;R$3.000.000,00;R$11.141.866,30;
1799;1800;16/03/2016;6;11;16;19;31;56;1;TERESÓPOLIS/RJ;R$22.054.205,88;96;R$24.829,38;5710;R$596,35;R$0,00;R$41.343.148,00;R$3.000.000,00;R$12.810.612,92;
1809;1810;20/04/2016;1;10;25;43;50;56;1;CABROBÓ/PE;R$92.303.225,84;266;R$22.369,76;14324;R$593,44;R$0,00;R$103.207.069,00;R$2.500.000,00;R$21.269.659,63;
1814;1815;05/05/2016;8;11;25;39;41;60;3;"CUIABÁ/MT; 
BELÉM/PA; 
SANTO ANDRÉ/SP";R$10.829.320,16;84;R$31.104,09;4553;R$819,78;R$0,00;R$45.317.219,50;R$3.000.000,00;R$23.780.480,40;
1820;1821;25/05/2016;19;22;31;36;52;53;2;"SALVADOR/BA; 
BELÉM/PA";R$19.896.531,79;84;R$41.772,19;6145;R$815,73;R$0,00;R$60.860.145,50;R$2.500.000,00;R$27.686.042,28;
1824;1825;07/06/2016;10;11;21;50;51;54;1;FORTALEZA/CE;R$27.333.858,49;41;R$43.198,01;3176;R$796,65;R$0,00;R$30.719.489,50;R$2.200.000,00;R$29.583.323,40;
1829;1830;22/06/2016;3;7;29;37;54;60;1;RIO DE JANEIRO/RJ;R$27.488.182,36;100;R$24.520,21;6640;R$527,54;R$0,00;R$42.529.525,50;R$2.500.000,00;R$32.063.726,57;
1830;1831;25/06/2016;15;27;28;32;48;55;1;ITABORAI/RJ;R$2.615.804,34;71;R$20.000,12;3168;R$640,33;R$0,00;R$24.629.594,50;R$2.500.000,00;R$32.437.412,92;
1833;1834;06/07/2016;2;17;22;24;48;51;1;CAPITÓLIO/MG;R$9.144.980,42;100;R$19.132,74;5132;R$532,58;R$0,00;R$33.185.138,00;R$15.000.000,00;R$33.743.838,73;
1837;1838;16/07/2016;5;8;24;30;57;59;1;SALVADOR/BA;R$25.207.139,21;115;R$20.709,91;5293;R$642,80;R$0,00;R$41.308.785,00;R$2.500.000,00;R$35.883.190,85;
1841;1842;30/07/2016;16;18;22;24;34;43;1;ALEGRETE/RS;R$27.801.637,78;100;R$29.087,40;6722;R$618,17;R$0,00;R$50.451.173,50;R$2.500.000,00;R$38.279.641,78;
1842;1843;03/08/2016;8;26;28;33;41;54;1;LAGARTO/SE;R$2.685.394,05;51;R$28.584,03;3046;R$683,70;R$0,00;R$25.284.829,50;R$2.500.000,00;R$38.663.269,52;
1849;1850;24/08/2016;23;24;32;38;40;41;1;RIO DE JANEIRO/RJ;R$58.632.725,66;81;R$48.339,16;5935;R$942,46;R$0,00;R$67.912.631,50;R$2.500.000,00;R$43.272.692,12;
1852;1853;03/09/2016;1;2;34;39;41;45;1;BRASÍLIA/DF;R$9.543.014,95;28;R$74.219,70;2780;R$1.067,90;R$0,00;R$36.044.890,00;R$3.000.000,00;R$44.635.980,02;
1859;1860;24/09/2016;10;30;36;40;44;60;1;JUIZ DE FORA/MG;R$57.628.178,83;109;R$33.491,77;11392;R$457,79;R$0,00;R$63.318.563,00;R$2.500.000,00;R$49.137.999,58;
1861;1862;01/10/2016;2;8;35;42;49;56;2;BELO HORIZONTE/MG;R$2.915.182,12;99;R$18.299,52;4549;R$568,93;R$0,00;R$31.422.552,00;R$3.000.000,00;R$49.970.908,78;
1870;1871;29/10/2016;3;11;17;33;52;58;1;VARGINHA/MG;R$76.548.193,31;275;R$20.893,81;15560;R$527,52;R$0,00;R$99.659.087,50;R$2.500.000,00;R$57.061.491,27;
1874;1875;10/11/2016;1;45;47;52;53;55;1;APARECIDA DE GOIÂNIA/GO;R$29.697.112,87;45;R$51.595,30;2828;R$1.172,85;R$0,00;R$40.270.688,50;R$2.500.000,00;R$58.834.231,63;
1878;1879;23/11/2016;5;10;20;57;58;59;1;Montes Claros/MG;R$12.957.556,93;103;R$20.469,69;4610;R$653,35;R$0,00;R$36.569.155,00;R$15.000.000,00;R$60.685.311,25;
1880;1881;30/11/2016;3;10;30;44;53;56;1;SALVADOR/BA;R$18.918.141,78;44;R$50.878,02;4024;R$794,74;R$0,00;R$38.828.384,00;R$3.000.000,00;R$61.840.312,04;
