;Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Cidade / UF;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada;Observação
2076;2077;12/09/2018;13;16;26;35;37;39;1;ARAPUTANGA/MT;R$27.758.694,68;117;R$20.198,69;6080;R$555,27;R$0,00;R$40.989.767,00;R$2.500.000,00;R$49.714.439,67;
2080;2081;22/09/2018;13;18;35;40;41;42;1;ITAGUARA/MG;R$21.763.750,54;128;R$15.918,03;4287;R$678,96;R$0,00;R$35.339.930,50;R$2.500.000,00;R$51.348.493,85;
2081;2082;26/09/2018;6;25;33;42;48;49;1;VITÓRIA/ES;R$2.420.701,10;32;R$41.065,46;2640;R$711,09;R$0,00;R$22.792.563,50;R$3.000.000,00;R$51.694.308,31;
2086;2087;13/10/2018;2;18;19;23;34;53;1;MARABÁ/PA;R$27.364.769,44;52;R$41.598,96;4898;R$630,91;R$0,00;R$37.519.090,00;R$2.500.000,00;R$54.272.589,33;
2087;2088;17/10/2018;3;14;24;27;38;56;1;CASTRO ALVES/BA;R$2.526.635,00;56;R$24.492,89;3262;R$600,68;R$0,00;R$23.790.004,00;R$3.000.000,00;R$54.633.537,21;
2090;2091;25/10/2018;10;11;12;37;38;59;1;Curitiba/PR;R$20.024.894,84;75;R$25.054,96;3855;R$696,35;R$0,00;R$32.592.784,00;R$2.500.000,00;R$55.896.031,13;
2099;2100;24/11/2018;1;10;11;13;35;49;1;INDAIATUBA/SP;R$69.186.484,11;266;R$17.704,75;15540;R$432,93;R$0,00;R$81.684.155,00;R$3.000.000,00;R$62.112.617,60;
2109;2110;31/12/2018;5;10;12;18;25;33;52;"RIO BRANCO/AC; 
MANAUS/AM; 
EUCLIDES DA CUNHA/BA; 
FEIRA DE SANTANA/BA; 
MATA DE SÃO JOÃO/BA; 
SALVADOR/BA; 
VALENÇA/BA; 
VÁRZEA ALEGRE/CE; 
BRASÍLIA/DF; 
BELA VISTA DE GOIÁS/GO; 
JATAÍ/GO; 
PEDREIRAS/MA; 
SÃO LUIS/MA; 
ALFENAS/MG; 
BELO HORIZONTE/MG; 
DIVINÓPOLIS/MG; 
MARTINHO CAMPOS/MG; 
SÃO SEBASTIÃO DO PARAÍSO/MG; 
CORUMBÁ/MS; 
COSTA RICA/MS; 
COXIM/MS; 
ALMEIRIM/PA; 
ITAITUBA/PA; 
JOÃO PESSOA/PB; 
LAGOA DO ITAENGA/PE; 
CAMPO MOURÃO/PR; 
Curitiba/PR; 
Angra dos Reis/RJ; 
BARRA DO PIRAÍ/RJ; 
NOVA IGUAÇU/RJ; 
RIO DE JANEIRO/RJ; 
SANTO ANTÔNIO DE PÁDUA/RJ; 
BLUMENAU/SC; 
ADAMANTINA/SP; 
GUARUJÁ/SP; 
PEDREIRA/SP; 
PRAIA GRANDE/SP; 
Ribeirão Preto/SP; 
SÃO BERNARDO DO CAMPO/SP; 
SÃO PAULO/SP; 
VOTORANTIM/SP; 
Canal Eletrônico";R$5.818.007,36;7688;R$6.644,73;303857;R$240,17;R$0,00;R$886.048.366,00;R$2.000.000,00;R$0,00;AS APOSTAS GANHADORAS DO CANAL ELETRÔNICO SÃO DAS CIDADE DE SIMÕES FILHO(BA), BELO HORIZONTE(MG) E CUIABÁ(MT)
2117;2118;23/01/2019;11;12;20;40;41;46;1;TERESÓPOLIS/RJ;R$37.902.607,11;58;R$53.100,77;4135;R$1.064,03;R$0,00;R$53.418.935,50;R$2.500.000,00;R$4.316.426,59;
2120;2121;02/02/2019;8;10;17;29;37;40;1;RIO DE JANEIRO/RJ;R$24.666.686,76;82;R$31.988,03;5493;R$682,17;R$0,00;R$45.495.432,50;R$3.000.000,00;R$5.970.146,17;
2130;2131;06/03/2019;2;3;6;18;20;28;1;GRAVATAÍ/RS;R$78.938.208,62;414;R$9.335,09;16733;R$329,94;R$0,00;R$67.032.441,00;R$3.000.000,00;R$13.239.249,64;
2134;2135;20/03/2019;9;23;28;40;48;59;1;SALVADOR/BA;R$32.689.083,52;50;R$58.359,12;4546;R$916,96;R$0,00;R$50.611.032,50;R$3.000.000,00;R$15.576.778,59;
2149;2150;11/05/2019;23;24;26;38;42;49;1;Canal Eletrônico;R$289.420.865,00;838;R$30.450,20;56994;R$639,59;R$0,00;R$442.589.014,00;R$3.000.000,00;R$43.259.979,66;A APOSTA GANHADORA DO CONCURSO É DA CIDADE DE RECIFE/PE.
2152;2153;22/05/2019;8;13;28;31;32;33;1;ARAMINA/SP;R$11.825.289,36;127;R$18.610,89;6356;R$531,23;R$0,00;R$40.995.608,50;R$3.000.000,00;R$44.949.306,75;
2160;2161;19/06/2019;8;9;10;24;42;44;1;OSASCO/SP;R$124.209.628,25;255;R$22.718,64;15769;R$524,83;R$0,00;R$100.482.175,50;R$2.500.000,00;R$53.767.116,80;
2164;2165;03/07/2019;5;37;43;49;54;56;1;SÃO PAULO/SP;R$35.218.398,02;113;R$26.216,82;8189;R$516,80;R$0,00;R$51.383.654,00;R$3.000.000,00;R$55.991.319,28;
2167;2168;11/07/2019;1;4;25;27;29;37;1;Curitiba/PR;R$8.177.021,67;66;R$25.059,82;4054;R$582,82;R$0,00;R$28.687.214,50;R$2.500.000,00;R$57.159.465,26;
2170;2171;20/07/2019;12;13;19;36;44;55;1;SÃO PAULO/SP;R$21.978.571,91;118;R$23.023,47;7127;R$544,56;R$0,00;R$47.121.518,50;R$3.000.000,00;R$58.843.986,23;
2175;2176;06/08/2019;8;23;25;39;43;44;1;RIO DE JANEIRO/RJ;R$30.505.746,02;61;R$32.544,44;4688;R$604,95;R$0,00;R$34.432.856,50;R$2.000.000,00;R$61.504.538,48;
2188;2189;18/09/2019;4;11;16;22;29;33;1;BRASÍLIA/DF;R$120.085.143,97;406;R$19.407,24;24366;R$461,96;R$0,00;R$136.664.650,50;R$38.000.000,00;R$74.552.591,09;A APOSTA GANHADORA DO PRÊMIO PRINCIPAL DO MUNICÍPIO DE BRASÍLIA É UM BOLÃO CAIXA COM 49 COTAS.
2190;2191;24/09/2019;4;8;26;33;46;53;1;SORRISO/MT;R$43.258.437,80;104;R$20.552,88;5272;R$579,20;R$0,00;R$37.073.641,50;R$2.300.000,00;R$75.834.899,99;
2192;2193;28/09/2019;7;8;22;27;29;42;1;LONDRINA/PR;R$5.698.505,42;55;R$31.103,09;4664;R$523,97;R$0,00;R$29.670.543,00;R$3.000.000,00;R$76.648.972,22;
2197;2198;16/10/2019;1;11;34;36;44;56;1;FORTALEZA/CE;R$34.615.569,28;47;R$56.334,80;4402;R$859,26;R$0,00;R$45.923.384,50;R$3.000.000,00;R$80.008.111,29;
2204;2205;06/11/2019;12;21;28;37;42;57;1;SAO PAULO/SP;R$61.429.947,73;112;R$30.075,67;6318;R$761,65;R$0,00;R$58.424.184,00;R$3.000.000,00;R$84.607.023,31;
2212;2213;04/12/2019;5;7;10;32;46;60;1;SAO GONCALO/RJ;R$51.119.263,33;96;R$39.952,83;7360;R$744,46;R$0,00;R$66.523.950,00;R$3.000.000,00;R$90.102.767,80;
2217;2218;19/12/2019;6;16;22;38;48;52;1;FRANCA/SP;R$40.059.665,22;42;R$64.678,28;3345;R$1.160,14;R$0,00;R$47.115.841,50;R$2.500.000,00;R$93.320.332,18;
2219;2220;31/12/2019;3;35;38;40;57;58;4;"JUSCIMEIRA/MT; 
CRICIUMA/SC; 
SAO PAULO/SP";R$76.053.459,66;1031;R$57.537,06;77055;R$1.099,78;R$0,00;R$1.028.882.101,50;R$2.000.000,00;R$0,00;
2236;2237;27/02/2020;11;20;27;28;53;60;2;"RIO BRANCO/AC; 
FORTALEZA/CE";R$105.826.358,87;263;R$44.509,85;15054;R$1.110,86;R$0,00;R$203.035.104,00;R$3.000.000,00;R$21.774.127,65;
2239;2240;07/03/2020;7;9;10;19;25;58;2;"BELO HORIZONTE/MG; 
SAO PAULO/SP";R$27.894.020,38;143;R$28.124,13;10345;R$555,37;R$0,00;R$69.754.837,50;R$2.000.000,00;R$23.868.203,92;
2243;2244;18/03/2020;3;5;11;34;37;42;1;CANAL ELETRONICO;R$12.147.334,80;77;R$26.469,15;4706;R$618,70;R$12.292.230,79;R$35.350.038,00;R$16.000.000,00;R$25.603.537,52;
2244;2245;21/03/2020;11;14;15;18;33;34;1;MINACU/GO;R$15.186.785,88;51;R$30.810,39;3048;R$736,46;R$0,00;R$27.253.773,00;R$1.000.000,00;R$26.017.045,41;
2247;2248;01/04/2020;9;15;20;29;30;42;1;CANAL ELETRONICO;R$4.906.932,90;29;R$38.798,69;1618;R$993,43;R$0,00;R$19.515.258,00;R$1.800.000,00;R$26.718.035,87;
2261;2262;16/05/2020;7;8;14;23;30;46;1;CURITIBA/PR;R$101.195.308,30;198;R$34.405,61;12850;R$757,34;R$0,00;R$118.155.415,50;R$2.000.000,00;R$36.793.668,86;
2266;2267;03/06/2020;20;32;33;48;49;53;1;CANAL ELETRONICO;R$45.553.191,42;33;R$105.176,88;4064;R$1.220,06;R$0,00;R$60.199.582,50;R$2.500.000,00;R$40.104.978,82;
2272;2273;24/06/2020;15;16;20;38;40;58;1;BRASILIA/DF;R$43.269.740,25;48;R$67.956,15;3830;R$1.216,67;R$0,00;R$56.575.611,00;R$2.500.000,00;R$44.155.837,42;
2278;2279;14/07/2020;5;12;14;20;27;28;1;SAO PAULO/SP;R$43.234.926,10;120;R$19.147,29;6212;R$528,39;R$15.768.710,74;R$39.851.784,00;R$20.000.000,00;R$48.131.903,37;
2281;2282;22/07/2020;12;27;30;36;45;52;1;ATIBAIA/SP;R$28.456.665,08;44;R$59.779,92;3467;R$1.083,81;R$0,00;R$45.621.256,50;R$2.500.000,00;R$49.944.468,31;
2284;2285;01/08/2020;1;7;10;12;33;42;2;"BRASILIA/DF; 
ARACATUBA/SP";R$11.323.343,69;160;R$15.996,75;7967;R$458,94;R$0,00;R$44.392.626,00;R$3.000.000,00;R$51.491.398,97;
2295;2296;05/09/2020;1;6;21;29;36;59;2;"CANAL ELETRONICO; 
CAMPINAS/SP";R$47.160.446,98;166;R$39.028,74;8642;R$1.070,97;R$0,00;R$112.370.395,50;R$2.500.000,00;R$60.706.654,87;
2305;2306;07/10/2020;3;19;28;33;57;58;1;ABREU E LIMA/PE;R$103.029.826,38;258;R$28.428,45;15713;R$666,83;R$0,00;R$127.213.159,50;R$3.000.000,00;R$69.894.810,44;
2307;2308;14/10/2020;9;13;26;38;58;60;1;SANTOS/SP;R$6.648.106,25;57;R$30.363,18;3408;R$725,47;R$0,00;R$30.017.974,50;R$2.500.000,00;R$70.844.539,95;
2313;2314;31/10/2020;6;7;28;42;45;49;1;CANAL ELETRONICO;R$53.047.796,53;105;R$41.171,63;7551;R$817,87;R$17.663.394,04;R$74.980.201,50;R$22.000.000,00;R$75.328.803,79;O ganhador do canal eletrônico do prêmio principal é da cidade de Goiânia/GO.
2319;2320;21/11/2020;6;30;35;39;42;48;1;RIBEIRAO PRETO/SP;R$76.128.023,58;92;R$52.821,09;6334;R$1.096,02;R$0,00;R$84.285.810,00;R$3.000.000,00;R$80.950.862,28;
2320;2321;25/11/2020;14;25;28;41;43;46;1;MACEIO/AL;R$3.036.906,71;40;R$41.215,16;2494;R$944,32;R$0,00;R$28.594.089,00;R$3.000.000,00;R$81.384.706,11;
2328;2329;19/12/2020;12;14;28;42;45;55;2;"CAMPINA GRANDE/PB; 
SAO PAULO/SP";R$26.798.752,27;93;R$43.422,45;6837;R$843,78;R$104.051.609,25;R$70.041.685,50;R$300.000.000,00;R$104.051.609,25;
2329;2330;31/12/2020;17;20;22;35;41;42;2;"CANAL ELETRONICO; 
ARACAJU/SE";R$162.625.108,22;1384;R$48.978,81;105342;R$919,27;R$0,00;R$1.175.719.054,50;R$1.500.000,00;R$0,00;
2333;2334;13/01/2021;4;13;20;22;25;60;1;SERRINHA/BA;R$11.854.874,71;66;R$34.602,68;4609;R$707,86;R$7.451.635,52;R$39.610.737,00;R$13.000.000,00;R$1.693.553,58;
2336;2337;23/01/2021;2;9;34;49;51;55;1;FORTALEZA/CE;R$21.898.260,37;84;R$35.529,81;4321;R$986,71;R$0,00;R$51.764.431,50;R$2.000.000,00;R$3.757.357,17;
2340;2341;03/02/2021;4;9;31;32;42;46;1;MIRASSOL D'OESTE/MT;R$25.099.868,34;59;R$47.999,27;3548;R$1.140,26;R$0,00;R$49.118.593,50;R$2.500.000,00;R$5.677.642,74;
2347;2348;27/02/2021;2;3;7;48;51;54;1;RIO DE JANEIRO/RJ;R$49.341.885,20;107;R$38.652,61;6601;R$895,06;R$0,00;R$71.733.469,50;R$2.500.000,00;R$10.839.076,56;
2348;2349;03/03/2021;5;10;25;32;49;54;1;CURITIBA/PR;R$2.780.964,58;59;R$25.587,57;3150;R$684,65;R$17.118.616,07;R$26.184.258,00;R$22.000.000,00;R$11.236.357,23;
2353;2354;20/03/2021;6;18;25;30;42;54;2;CANAL ELETRONICO;R$22.779.788,25;169;R$21.989,10;6593;R$805,21;R$17.877.175,12;R$64.454.539,50;R$22.000.000,00;R$15.299.351,66;
2355;2356;27/03/2021;3;10;25;36;51;58;1;CANAL ELETRONICO;R$27.070.907,55;100;R$27.164,44;5821;R$666,66;R$0,00;R$47.115.076,50;R$2.500.000,00;R$16.612.742,04;
2362;2363;17/04/2021;6;14;24;34;39;58;1;SAO PAULO/SP;R$40.076.100,78;77;R$49.919,36;5169;R$1.062,31;R$0,00;R$66.668.242,50;R$2.500.000,00;R$20.807.339,84;
2367;2368;04/05/2021;4;7;13;25;36;58;1;NOVA BRASILANDIA D'OESTE/RO;R$37.429.107,24;152;R$17.748,32;7476;R$515,50;R$0,00;R$46.790.743,50;R$2.000.000,00;R$23.970.648,83;
2375;2376;29/05/2021;12;14;17;18;19;22;2;"MACEIO/AL; 
SAO PAULO/SP";R$47.341.439,63;433;R$18.922,04;19908;R$587,93;R$0,00;R$142.106.854,50;R$2.500.000,00;R$32.663.668,29;
2379;2380;12/06/2021;11;16;20;24;39;53;1;BALNEARIO CAMBORIU/SC;R$43.258.691,06;59;R$65.129,22;5566;R$986,24;R$0,00;R$66.648.006,00;R$3.000.000,00;R$35.394.954,23;
2381;2382;19/06/2021;6;9;19;38;53;55;1;CANAL ELETRONICO;R$7.098.061,76;52;R$41.816,28;4044;R$768,13;R$0,00;R$37.714.473,00;R$2.500.000,00;R$36.408.963,09;
2382;2383;23/06/2021;13;15;16;20;40;41;1;SAO PAULO/SP;R$2.783.717,00;47;R$32.152,36;2151;R$1.003,62;R$0,00;R$26.210.173,50;R$2.500.000,00;R$36.806.636,97;
2390;2391;17/07/2021;5;8;13;27;36;50;1;COLATINA/ES;R$76.237.205,10;192;R$32.288,63;13379;R$661,95;R$0,00;R$107.525.155,50;R$2.500.000,00;R$43.692.584,88;
2397;2398;10/08/2021;8;17;30;36;54;59;1;MOGI MIRIM/SP;R$60.902.054,13;78;R$43.757,99;5421;R$899,44;R$0,00;R$59.198.575,50;R$2.500.000,00;R$49.518.449,03;
2401;2402;21/08/2021;6;22;25;29;30;60;1;TERESINA/PI;R$40.953.827,42;128;R$30.626,84;6285;R$891,06;R$0,00;R$67.994.118,00;R$3.000.000,00;R$52.479.110,70;
2407;2408;11/09/2021;4;29;30;38;43;57;1;ARARUAMA/RJ;R$46.317.095,04;65;R$59.322,24;4828;R$1.140,94;R$0,00;R$66.879.058,50;R$3.000.000,00;R$56.871.441,55;
2409;2410;18/09/2021;7;10;27;35;43;59;2;"CURITIBA/PR; 
SAO PAULO/SP";R$12.503.139,64;93;R$31.102,36;5939;R$695,76;R$0,00;R$50.169.015,00;R$3.000.000,00;R$58.043.912,46;
2415;2416;06/10/2021;6;7;11;26;37;57;1;BRASILIA/DF;R$35.714.240,27;86;R$39.895,60;5658;R$866,28;R$0,00;R$59.509.003,50;R$3.000.000,00;R$61.511.303,72;
2418;2419;16/10/2021;10;35;43;48;50;53;1;SANTOS/SP;R$11.509.541,30;31;R$83.364,16;3078;R$1.199,42;R$14.397.821,39;R$44.822.938,50;R$16.900.000,00;R$63.155.523,93;
2426;2427;10/11/2021;3;19;25;37;44;56;5;"CANAL ELETRONICO; 
ANGICAL/BA; 
GOIANIA/GO; 
BENEDITO LEITE/MA; 
BORBOREMA/SP";R$18.181.413,39;680;R$11.418,47;19557;R$567,17;R$0,00;R$134.671.644,00;R$3.000.000,00;R$71.730.883,05;
2429;2430;20/11/2021;19;26;39;45;46;56;1;UBERLANDIA/MG;R$39.690.444,50;37;R$96.493,78;4109;R$1.241,27;R$0,00;R$61.924.185,00;R$3.000.000,00;R$73.711.110,63;
2435;2436;09/12/2021;5;15;28;32;38;54;1;BARUERI/SP;R$39.405.657,46;65;R$41.464,82;4285;R$898,55;R$0,00;R$46.746.850,50;R$3.000.000,00;R$77.298.053,00;
2437;2438;15/12/2021;4;11;19;25;37;55;1;CANAL ELETRONICO;R$6.549.381,39;99;R$19.581,95;5073;R$545,91;R$0,00;R$33.624.076,50;R$3.000.000,00;R$78.233.678,94;
2439;2440;31/12/2021;12;15;23;32;33;46;2;"CABO FRIO/RJ; 
CAMPINAS/SP";R$189.062.363,74;1712;R$50.861,33;143494;R$866,88;R$0,00;R$1.510.256.529,00;R$3.000.000,00;R$0,00;
2442;2443;12/01/2022;1;5;12;13;17;31;2;"CANAL ELETRONICO; 
URUCANIA/MG";R$5.259.397,57;161;R$13.732,65;8131;R$388,45;R$0,00;R$38.347.726,50;R$3.000.000,00;R$1.502.685,07;
2448;2449;29/01/2022;14;20;21;31;49;52;1;BLUMENAU/SC;R$36.777.767,10;65;R$50.669,64;3771;R$1.247,68;R$15.646.007,23;R$57.124.246,50;R$20.000.000,00;R$5.521.278,16;
2450;2451;05/02/2022;13;26;31;46;51;60;1;BELO HORIZONTE/MG;R$26.422.347,01;60;R$55.490,34;4536;R$1.048,57;R$0,00;R$57.746.794,50;R$3.000.000,00;R$7.060.755,29;
2463;2464;19/03/2022;2;7;24;43;52;56;2;"CANAL ELETRONICO; 
MONGAGUA/SP";R$94.690.936,18;496;R$35.454,28;31802;R$789,94;R$69.389.852,30;R$305.006.872,50;R$80.000.000,00;R$29.165.845,47;
2467;2468;02/04/2022;22;35;41;42;53;57;1;SANTOS/SP;R$122.627.171,80;267;R$34.158,18;20734;R$628,38;R$0,00;R$158.184.963,00;R$3.000.000,00;R$36.771.176,89;
2471;2472;16/04/2022;5;13;18;23;35;36;1;GUARULHOS/SP;R$66.733.761,74;233;R$21.613,45;14583;R$493,32;R$0,00;R$87.345.229,50;R$3.000.000,00;R$41.181.657,00;
2477;2478;04/05/2022;2;17;23;28;39;46;1;HERVAL D'OESTE/SC;R$58.922.844,33;196;R$27.088,07;10963;R$691,84;R$0,00;R$92.085.948,00;R$3.000.000,00;R$46.420.675,36;
2478;2479;07/05/2022;10;15;17;20;21;35;1;VASSOURAS/RJ;R$4.456.908,10;90;R$26.882,94;5989;R$577,12;R$20.612.617,77;R$41.964.156,00;R$27.000.000,00;R$47.057.376,54;
2485;2486;31/05/2022;8;9;17;19;33;56;1;BLUMENAU/SC;R$117.557.270,98;231;R$27.876,31;15582;R$590,37;R$0,00;R$111.688.024,50;R$3.000.000,00;R$57.101.144,85;
2486;2487;02/06/2022;23;36;42;48;54;58;1;RIO DE JANEIRO/RJ;R$3.681.934,22;141;R$14.175,63;4588;R$622,35;R$0,00;R$34.667.365,50;R$4.000.000,00;R$57.627.135,47;
2493;2494;25/06/2022;1;4;10;22;53;54;1;DIADEMA/SP;R$78.763.087,85;157;R$35.919,96;11899;R$677,05;R$27.939.712,46;R$97.812.585,00;R$35.000.000,00;R$65.244.165,17;
2497;2498;06/07/2022;9;12;26;29;46;47;1;BLUMENAU/SC;R$51.830.706,79;88;R$51.135,50;7866;R$817,24;R$0,00;R$78.048.481,50;R$3.000.000,00;R$68.657.164,42;
2499;2500;13/07/2022;5;16;25;32;39;55;1;DOURADOS/MS;R$27.485.274,00;84;R$37.436,76;4928;R$911,60;R$0,00;R$54.542.722,50;R$3.000.000,00;R$70.070.260,52;
2502;2503;23/07/2022;3;14;16;38;43;45;1;CANAL ELETRONICO;R$13.748.083,57;91;R$32.808,29;5194;R$821,15;R$0,00;R$51.782.647,50;R$3.000.000,00;R$72.034.272,50;
2504;2505;30/07/2022;3;5;19;26;43;51;1;CACAPAVA DO SUL/RS;R$24.271.229,51;108;R$32.693,92;6977;R$722,97;R$0,00;R$61.242.102,00;R$3.000.000,00;R$73.444.519,99;
2506;2507;04/08/2022;4;6;12;34;35;53;1;MOSSORO/RN;R$5.543.989,92;47;R$38.165,32;3385;R$757,02;R$0,00;R$31.111.861,50;R$3.000.000,00;R$74.236.518,56;
2509;2510;13/08/2022;8;13;25;32;44;57;4;"CANAL ELETRONICO; 
MORRETES/PR; 
DUQUE DE CAXIAS/RJ; 
BARUERI/SP";R$6.670.155,67;242;R$14.818,18;10296;R$497,55;R$0,00;R$62.197.002,00;R$3.000.000,00;R$76.276.832,41;
2524;2525;01/10/2022;4;13;21;26;47;51;2;"CANAL ELETRONICO; 
FERNANDOPOLIS/SP";R$158.926.894,27;814;R$33.910,24;52760;R$747,39;R$0,00;R$478.756.422,00;R$3.000.000,00;R$106.598.137,79;
2533;2534;29/10/2022;28;36;39;44;56;60;1;SAO PAULO/SP;R$131.566.946,59;176;R$53.823,63;12797;R$1.057,49;R$38.792.396,04;R$164.302.780,50;R$43.000.000,00;R$118.738.317,11;
2536;2537;09/11/2022;12;24;26;31;37;48;1;GUARUJA/SP;R$64.250.536,10;94;R$55.876,02;9282;R$808,37;R$0,00;R$91.098.787,50;R$3.000.000,00;R$122.375.194,31;
2547;2548;14/12/2022;9;15;23;25;29;30;1;CANAL ELETRONICO;R$134.811.174,29;186;R$36.544,82;12011;R$808,46;R$0,00;R$117.895.720,50;R$3.000.000,00;R$135.436.363,19;
2549;2550;31/12/2022;4;5;10;34;58;59;5;"CANAL ELETRONICO; 
FLORESTAL/MG; 
ARROIO DO SAL/RS; 
SANTOS/SP; 
SAO JOSE DA BELA VISTA/SP";R$108.393.993,26;2485;R$45.438,78;183921;R$877,04;R$0,00;R$1.958.449.342,50;R$3.000.000,00;R$0,00;
2561;2562;08/02/2023;6;12;32;44;51;57;2;"PIRACICABA/SP; 
SAO PAULO/SP";R$76.403.943,65;226;R$45.102,73;14672;R$992,48;R$0,00;R$176.795.226,00;R$3.000.000,00;R$16.184.773,22;
2564;2565;16/02/2023;9;13;25;39;46;54;3;"CAMPO GRANDE/MS; 
BELEM/PA; 
PARANAGUA/PR";R$17.626.625,69;164;R$24.367,94;8245;R$692,42;R$0,00;R$69.314.134,50;R$3.000.000,00;R$18.448.693,83;
2566;2567;23/02/2023;10;11;19;33;58;60;1;BRASILIA/DF;R$8.548.140,96;103;R$23.886,63;5786;R$607,45;R$0,00;R$42.672.816,00;R$3.000.000,00;R$19.669.856,85;
2569;2570;04/03/2023;8;18;26;27;47;50;1;CANAL ELETRONICO;R$33.139.056,49;75;R$61.594,54;5940;R$1.111,01;R$0,00;R$80.124.021,00;R$3.000.000,00;R$22.168.768,88;
2577;2578;29/03/2023;37;39;47;50;59;60;2;"CANAL ELETRONICO; 
BETIM/MG";R$37.457.585,34;296;R$20.561,43;6128;R$1.418,82;R$0,00;R$105.561.216,00;R$3.000.000,00;R$30.412.062,37;
2580;2581;08/04/2023;14;17;32;36;39;60;1;SAO PAULO/SP;R$46.558.149,50;239;R$18.062,58;6605;R$933,69;R$0,00;R$74.875.027,50;R$3.000.000,00;R$33.189.173,97;
2586;2587;29/04/2023;5;10;11;22;23;37;1;PEDRO LEOPOLDO/MG;R$61.056.497,58;328;R$17.723,23;27180;R$305,54;R$0,00;R$100.826.811,00;R$3.000.000,00;R$39.217.190,63;
2590;2591;11/05/2023;10;11;21;23;28;30;1;ITANHANGA/MT;R$43.295.767,40;116;R$31.279,23;7633;R$679,07;R$0,00;R$62.932.260,00;R$3.000.000,00;R$42.171.861,20;
2597;2598;03/06/2023;7;14;24;53;58;60;1;RIO GRANDE DA SERRA/SP;R$66.093.916,13;81;R$72.766,96;7347;R$1.146,07;R$0,00;R$102.230.040,00;R$3.000.000,00;R$49.240.616,84;
2601;2602;17/06/2023;11;14;16;30;32;46;1;CANAL ELETRONICO;R$51.774.681,61;111;R$44.054,71;6285;R$1.111,50;R$0,00;R$84.815.375,00;R$3.000.000,00;R$53.127.574,22;
2606;2607;01/07/2023;7;11;25;51;57;60;1;BELEM/PA;R$44.355.154,71;111;R$35.610,73;6591;R$856,75;R$0,00;R$68.558.795,00;R$3.000.000,00;R$56.643.191,24;
2613;2614;25/07/2023;3;8;13;14;19;25;3;"CANAL ELETRONICO; 
CONTAGEM/MG";R$22.746.383,38;251;R$18.624,27;12145;R$549,86;R$26.710.218,14;R$81.079.690,00;R$33.000.000,00;R$64.067.866,59;
2619;2620;12/08/2023;4;6;13;21;26;28;4;"CANAL ELETRONICO; 
UBERABA/MG; 
SINOP/MT";R$29.058.128,28;404;R$23.042,04;21667;R$613,76;R$0,00;R$161.458.740,00;R$3.500.000,00;R$72.866.210,44;
2620;2621;16/08/2023;6;9;14;16;42;47;2;"CANAL ELETRONICO; JUAZEIRO/BA";R$1.928.029,09;33;R$63.432,99;3245;R$921,54;R$0,00;R$36.306.835,00;R$4.000.000,00;R$73.417.075,91;
2621;2622;19/08/2023;9;19;22;24;50;60;1;SAO FRANCISCO DO CONDE/BA;R$4.645.727,41;34;R$74.175,48;3419;R$1.053,76;R$0,00;R$43.741.990,00;R$3.000.000,00;R$74.080.751,27;
2629;2630;09/09/2023;14;18;22;26;31;38;1;SANTA LUZIA/MG;R$84.729.015,05;250;R$24.675,33;9565;R$921,34;R$0,00;R$106.994.690,00;R$3.000.000,00;R$80.725.406,63;
2634;2636;23/09/2023;5;16;38;42;43;48;1;LUCAS DO RIO VERDE/MT;R$40.435.445,43;49;R$74.465,42;4597;R$1.133,90;R$0,00;R$63.286.340,00;R$3.000.000,00;R$84.284.605,21;
